Question,main,sub1,sub2,Description,TBD,dim1,dim2,dim3
Q7_12_1,Q7,12,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Budget Management - Total # of staff involved","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Budget Management,Total # of staff involved,NA
Q7_12_2,Q7,12,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Budget Management - # FT staff primarily dedicated","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Budget Management,# FT staff primarily dedicated,NA
Q7_12_3,Q7,12,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Budget Management - # PT staff primarily dedicated","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Budget Management,# PT staff primarily dedicated,NA
Q7_13_1,Q7,13,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Technology Management - Total # of staff involved","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Technology Management,Total # of staff involved,NA
Q7_13_2,Q7,13,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Technology Management - # FT staff primarily dedicated","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Technology Management,# FT staff primarily dedicated,NA
Q7_13_3,Q7,13,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Technology Management - # PT staff primarily dedicated","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Technology Management,# PT staff primarily dedicated,NA
Q7_14_1,Q7,14,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Assessment (Data, Outcomes, Program) - Total # of staff involved","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0","Assessment (Data, Outcomes, Program)",Total # of staff involved,NA
Q7_14_2,Q7,14,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Assessment (Data, Outcomes, Program) - # FT staff primarily dedicated","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0","Assessment (Data, Outcomes, Program)",# FT staff primarily dedicated,NA
Q7_14_3,Q7,14,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Assessment (Data, Outcomes, Program) - # PT staff primarily dedicated","The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0","Assessment (Data, Outcomes, Program)",# PT staff primarily dedicated,NA
Q8_1,Q8,1,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - Small College Career Alliance (SCCA),What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,Small College Career Alliance (SCCA),NA
Q8_2,Q8,2,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - National Association of Colleges & Employers (NACE),What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,National Association of Colleges & Employers (NACE),NA
Q8_3,Q8,3,NA,"What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - Regional Associations of Colleges & Employers (e.g., EACE, SWACE)",What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,"Regional Associations of Colleges & Employers (e.g., EACE, SWACE)",NA
Q8_4,Q8,4,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - National Career Development Association (NCDA),What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,National Career Development Association (NCDA),NA
Q8_5,Q8,5,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - National Society for Experiential Education (NSEE),What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,National Society for Experiential Education (NSEE),NA
Q8_6,Q8,6,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - American College Personnel Association (ACPA),What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,American College Personnel Association (ACPA),NA
Q8_7,Q8,7,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - Student Affairs Administrators in Higher Ed (NASPA),What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,Student Affairs Administrators in Higher Ed (NASPA),NA
Q8_8,Q8,8,NA,"What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - Health Professions Advising (e.g., National Association of Advisors for the Health Professions)",What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,"Health Professions Advising (e.g., National Association of Advisors for the Health Professions)",NA
Q8_9,Q8,9,NA,"What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - Pre-Law Advising (e.g., NAPLA)",What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,"Pre-Law Advising (e.g., NAPLA)",NA
Q8_10,Q8,10,NA,"What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - Fellowship Advising (e.g., National Association of Fellowships Advisors)",What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,"Fellowship Advising (e.g., National Association of Fellowships Advisors)",NA
Q8_11,Q8,11,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Selected Choice - Other:,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Selected Choice,Other:,NA
Q8_11_TEXT,Q8,11,TEXT,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply. - Other: - Text,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Other:,Text,NA
Q9_1,Q9,1,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Internship advising/programs/placements,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Internship advising/programs/placements,NA
Q9_3,Q9,3,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Co-op placements,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Co-op placements,NA
Q9_4,Q9,4,NA,"Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Job development, employer relations and recruiting",Please indicate all the services that your office offers to undergraduate students.,Selected Choice,"Job development, employer relations and recruiting",NA
Q9_5,Q9,5,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Federal work study,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Federal work study,NA
Q9_6,Q9,6,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Student on-campus employment,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Student on-campus employment,NA
Q9_7,Q9,7,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Advising for graduate school admission,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Advising for graduate school admission,NA
Q9_8,Q9,8,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Pre-med/health school advising,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Pre-med/health school advising,NA
Q9_10,Q9,10,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Pre-law advising,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Pre-law advising,NA
Q9_11,Q9,11,NA,"Please indicate all the services that your office offers to undergraduate students. - Selected Choice - National/international fellowship advising (e.g., Watson, Fulbright)",Please indicate all the services that your office offers to undergraduate students.,Selected Choice,"National/international fellowship advising (e.g., Watson, Fulbright)",NA
Q9_12,Q9,12,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Community service/service-learning,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Community service/service-learning,NA
Q9_13,Q9,13,NA,Please indicate all the services that your office offers to undergraduate students. - Selected Choice - Other:,Please indicate all the services that your office offers to undergraduate students.,Selected Choice,Other:,NA
Q9_13_TEXT,Q9,13,TEXT,Please indicate all the services that your office offers to undergraduate students. - Other: - Text,Please indicate all the services that your office offers to undergraduate students.,Other:,Text,NA
Q10_27,Q10,27,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Alumni and/or parent delivered programs,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Alumni and/or parent delivered programs,NA
Q10_1,Q10,1,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Career class/program (for credit),Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Career class/program (for credit),NA
Q10_2,Q10,2,NA,"Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Workshops/presentations to students in academic courses (excluding ""career courses"")",Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,"Workshops/presentations to students in academic courses (excluding ""career courses"")",NA
Q10_4,Q10,4,NA,"Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Career fairs (large scale, traditional)",Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,"Career fairs (large scale, traditional)",NA
Q10_5,Q10,5,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Career treks/immersion trips (lasting a least one day),Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Career treks/immersion trips (lasting a least one day),NA
Q10_6,Q10,6,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Employer delivered workshops,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Employer delivered workshops,NA
Q10_16,Q10,16,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Employer interviews,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Employer interviews,NA
Q10_11,Q10,11,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Professional staff delivered workshops,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Professional staff delivered workshops,NA
Q10_12,Q10,12,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Student staff delivered workshops,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Student staff delivered workshops,NA
Q10_7,Q10,7,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Employer information sessions,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Employer information sessions,NA
Q10_3,Q10,3,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Large scale program/event specifically for FIRST YEARS (at least 10% of the class participates),Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Large scale program/event specifically for FIRST YEARS (at least 10% of the class participates),NA
Q10_32,Q10,32,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Large scale program/event specifically for SOPHOMORES (at least 10% of the class participates),Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Large scale program/event specifically for SOPHOMORES (at least 10% of the class participates),NA
