Question,main,sub1,sub2,Description,Description_short,dim1,dim2
Q8_14_1,Q8,14,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,"Assessment (Data, Outcomes, Program)",Total # of staff involved
Q8_14_2,Q8,14,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,"Assessment (Data, Outcomes, Program)",# FT staff primarily dedicated
Q8_14_3,Q8,14,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,"Assessment (Data, Outcomes, Program)",# PT staff primarily dedicated
Q9_1,Q9,1,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,Professional Conferences,Selected Choice,Small College Career Alliance (SCCA)
Q9_2,Q9,2,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,National Association of Colleges & Employers (NACE)
Q9_3,Q9,3,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,"Regional Associations of Colleges & Employers (e.g., EACE, SWACE)"
Q9_4,Q9,4,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,National Career Development Association (NCDA)
Q9_5,Q9,5,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,National Society for Experiential Education (NSEE)
Q9_6,Q9,6,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,American College Personnel Association (ACPA)
Q9_7,Q9,7,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,Student Affairs Administrators in Higher Ed (NASPA)
Q9_8,Q9,8,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,"Health Professions Advising (e.g., National Association of Advisors for the Health Professions)"
Q9_9,Q9,9,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,"Pre-Law Advising (e.g., NAPLA)"
Q9_10,Q9,10,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,"Fellowship Advising (e.g., National Association of Fellowships Advisors)"
Q9_11,Q9,11,NA,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Selected Choice,Other:
Q9_11_TEXT,Q9,11,TEXT,What national or regional professional conferences or sponsored workshops are typically attended by staff? Select all that apply.,NA,Other:,Text
Q10_1,Q10,1,NA,Please indicate all the services that your office offers to undergraduate students.,Services Offered: Undergraduate Students,Selected Choice,Internship advising/programs/placements
Q10_3,Q10,3,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,Co-op placements
Q10_4,Q10,4,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,"Job development, employer relations and recruiting"
Q10_5,Q10,5,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,Federal work study
Q10_6,Q10,6,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,Student on-campus employment
Q10_7,Q10,7,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,Advising for graduate school admission
Q10_8,Q10,8,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,Pre-med/health school advising
Q10_10,Q10,10,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,Pre-law advising
Q10_11,Q10,11,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,"National/international fellowship advising (e.g., Watson, Fulbright)"
Q10_12,Q10,12,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,Community service/service-learning
Q10_13,Q10,13,NA,Please indicate all the services that your office offers to undergraduate students.,NA,Selected Choice,Other:
Q10_13_TEXT,Q10,13,TEXT,Please indicate all the services that your office offers to undergraduate students.,NA,Other:,Text
Q11_27,Q11,27,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Alumni and/or parent delivered programs
Q11_1,Q11,1,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Career class/program (for credit)
Q11_2,Q11,2,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,"Workshops/presentations to students in academic courses (excluding ""career courses"")"
Q11_4,Q11,4,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,"Career fairs (large scale, traditional)"
Q11_5,Q11,5,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Career treks/immersion trips (lasting a least one day)
Q11_6,Q11,6,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Employer delivered workshops
Q11_16,Q11,16,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Employer interviews
Q11_11,Q11,11,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Professional staff delivered workshops
Q11_12,Q11,12,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Student staff delivered workshops
Q11_7,Q11,7,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Employer information sessions
Q11_3,Q11,3,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Large scale program/event specifically for FIRST YEARS (at least 10% of the class participates)
Q11_32,Q11,32,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Large scale program/event specifically for SOPHOMORES (at least 10% of the class participates)
Q11_33,Q11,33,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Large scale program/event specifically for JUNIORS (at least 10% of the class participates)
Q11_34,Q11,34,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Large scale program/event specifically for SENIORS (at least 10% of the class participates)
Q11_31,Q11,31,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,"Identity based programming (BIPOC, first generation, LGBTQIA+, etc.)"
Q11_13,Q11,13,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Industry/sector/career community specific events
Q11_14,Q11,14,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Job shadow program
Q11_8,Q11,8,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Large-scale practice interview program
Q11_28,Q11,28,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Mentoring program
Q11_9,Q11,9,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Parent/family weekend programs
Q11_10,Q11,10,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Pre-orientation program
Q11_15,Q11,15,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Student/alumni networking events
Q11_29,Q11,29,NA,Please indicate all the types of programs that your office offers to undergraduate students,NA,Selected Choice,Other:
Q11_29_TEXT,Q11,29,TEXT,Please indicate all the types of programs that your office offers to undergraduate students,NA,Other:,Text
Q12,Q12,NA,NA,Do you provide services to graduate students?,NA,NA,NA
Q13_1,Q13,1,NA,Please identify those services offered to graduate students.,Services Offered: Graduate Students,Selected Choice,Career counseling/advising
Q13_2,Q13,2,NA,Please identify those services offered to graduate students.,NA,Selected Choice,"Job development, employer relations & recruiting"
Q13_3,Q13,3,NA,Please identify those services offered to graduate students.,NA,Selected Choice,Fellowship advising
Q13_4,Q13,4,NA,Please identify those services offered to graduate students.,NA,Selected Choice,Other
Q13_4_TEXT,Q13,4,TEXT,Please identify those services offered to graduate students.,NA,Other,Text
Q14,Q14,NA,NA,Do you provide services to alumni?,NA,NA,NA
Q15,Q15,NA,NA,"If so, please identify the scope of services offered to alumni.",NA,NA,NA
Q16,Q16,NA,NA,Do you charge a fee for service to alumni?,Services Offered: Alumni,Selected Choice,NA
Q16_2_TEXT,Q16,2,TEXT,Do you charge a fee for service to alumni?,NA,Yes. Please describe:,Text
Q36_1_1,Q36,1,1,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Hosted Career Fairs (on-campus),Number of career fairs offered on-campus or only for students at your institution (not including grad/prof school fairs),# On-campus
Q36_1_2,Q36,1,2,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Hosted Career Fairs (virtual),Number of career fairs offered on-campus or only for students at your institution (not including grad/prof school fairs),# Virtual
Q36_2_1,Q36,2,1,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Info Sessions (on-campus),Number of information sessions offered by employers (coordinated by your office),# On-campus
Q36_2_2,Q36,2,2,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Info Sessions (virtual),Number of information sessions offered by employers (coordinated by your office),# Virtual
Q36_3_1,Q36,3,1,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Coordinated Interiews (on-campus),"Number of interviews conducted on-campus or virtual interviews coordinated by your office (total number, not unique students) *record interviews affiliated with consortia/off-campus events below",# On-campus
Q36_3_2,Q36,3,2,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Coordinated Interviews (virtual),"Number of interviews conducted on-campus or virtual interviews coordinated by your office (total number, not unique students) *record interviews affiliated with consortia/off-campus events below",# Virtual
Q36_4_1,Q36,4,1,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Interviews at Consortia Events (on-campus),"Number of interviews conducted through consortia/off-campus events (total number, not unique students)",# On-campus
Q36_4_2,Q36,4,2,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Interviews at Consortia Events (virtual),"Number of interviews conducted through consortia/off-campus events (total number, not unique students)",# Virtual
Q36_5_1,Q36,5,1,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Career Treks (on-campus),"Number of career ""treks"" (immersion trips lasting at least one day)",# On-campus
Q36_5_2,Q36,5,2,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Career Treks (virtual),"Number of career ""treks"" (immersion trips lasting at least one day)",# Virtual
Q36_6_1,Q36,6,1,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Job Shadows (on-campus),"Number of job shadows (total number, not unique students)",# On-campus
Q36_6_2,Q36,6,2,"Reporting from your 2020-21 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Job Shadows (virtual),"Number of job shadows (total number, not unique students)",# Virtual
Q37_1_1,Q37,1,1,"Reporting from your 2020-21 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Employers - Hosted Career Fairs (on-campus),Number of employers who attended career fairs offered on-campus or only for students at your institution (not including graduate/professional school fairs),# On-campus
Q37_1_2,Q37,1,2,"Reporting from your 2020-21 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Employers - Hosted Career Fairs (virtual),Number of employers who attended career fairs offered on-campus or only for students at your institution (not including graduate/professional school fairs),# Virtual
Q37_2_1,Q37,2,1,"Reporting from your 2020-21 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Employers - Info Sessions (on-campus),Number of employers who offered information sessions coordinated by your office,# On-campus
Q37_2_2,Q37,2,2,"Reporting from your 2020-21 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Employers - Info Sessions (virtual),Number of employers who offered information sessions coordinated by your office,# Virtual
Q37_3_1,Q37,3,1,"Reporting from your 2020-21 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Employers - Coordinated Interviews (on-campus0,Number of employers who conducted interviews on-campus or virtual interviews coordinated by your office,# On-campus
Q37_3_2,Q37,3,2,"Reporting from your 2020-21 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Employers - Coordinated Interviews (virtual),Number of employers who conducted interviews on-campus or virtual interviews coordinated by your office,# Virtual
Q37_4_1,Q37,4,1,"Reporting from your 2020-21 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Employers - Interviews at Consortia Events (on-campus),Number of employers who conducted interviews through consortia/off-campus events,# On-campus
Q37_4_2,Q37,4,2,"Reporting from your 2020-21 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Employers - Interviews at Consortia Events (virtual),Number of employers who conducted interviews through consortia/off-campus events,# Virtual
Q19_1,Q19,1,NA,"For the academic year 2020-21, please indicate the total undergraduate class size for the following:",Number of First Years,First Years,NA
Q19_2,Q19,2,NA,"For the academic year 2020-21, please indicate the total undergraduate class size for the following:",Number of Sophomores,Sophomores,NA
Q19_3,Q19,3,NA,"For the academic year 2020-21, please indicate the total undergraduate class size for the following:",Number of Juniors,Juniors,NA
Q19_4,Q19,4,NA,"For the academic year 2020-21, please indicate the total undergraduate class size for the following:",Number of Seniors,Seniors,NA
Q20_1_1,Q20,1,1,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Staff Appointments with First Years (live),# appointments with first-year students by professional staff,"Total # of appointments (in-person, phone, video chat)"
Q20_1_2,Q20,1,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Email Consultations with First Years (email),# appointments with first-year students by professional staff,Total # of email consultations
Q20_2_1,Q20,2,1,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Staff Appointments with Sophomores (live),# appointments with sophomore students by professional staff,"Total # of appointments (in-person, phone, video chat)"
Q20_2_2,Q20,2,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Email Consultations with Sophomores (email),# appointments with sophomore students by professional staff,Total # of email consultations
Q20_3_1,Q20,3,1,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Staff Appointments with Juniors (live),# appointments with junior students by professional staff,"Total # of appointments (in-person, phone, video chat)"
Q20_3_2,Q20,3,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Email Consultations with Juniors (email),# appointments with junior students by professional staff,Total # of email consultations
Q20_4_1,Q20,4,1,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Staff Appointments with Seniors (live),# appointments with senior students by professional staff,"Total # of appointments (in-person, phone, video chat)"
Q20_4_2,Q20,4,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Email Consultations with Seniors (email),# appointments with senior students by professional staff,Total # of email consultations
Q20_5_1,Q20,5,1,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Total Staff Appointments with Students (live),TOTAL #  appointments with students by professional staff,"Total # of appointments (in-person, phone, video chat)"
Q20_5_2,Q20,5,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Total Email Consultations with Students,TOTAL #  appointments with students by professional staff,Total # of email consultations
Q20_6_1,Q20,6,1,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Staff Appointments with Alumni (live),# appointments with alumni by professional staff,"Total # of appointments (in-person, phone, video chat)"
Q20_6_2,Q20,6,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Email Consultations with Alumni (email),# appointments with alumni by professional staff,Total # of email consultations
Q21_1_5,Q21,1,5,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,First-Year,% engaged through appointment with professional staff
Q21_1_2,Q21,1,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,First-Year,"% engaged through appointment with peer ""advisor"" staff"
Q21_1_3,Q21,1,3,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,First-Year,% engaged through programs and events
